ID,TAXANR,PRNAVN,PRNAVN1,GNAVN,NAVN,AUTNR,AUTHOR,AUTSTAT,TAXATYPE,SYNONYMNR,GNR,GYLDIG,PREVTAXA
13459,13430,Potentilla asperrima,Potentilla asperrima,Potentilla asperrima,asperrima,152,Turcz.,,A,0,13430,TRUE,889
891,891,Potentilla atrosanguinea,Potentilla atrosanguinea,Potentilla atrosanguinea,atrosanguinea,1224,Lodd. ex D.Don,,A,0,891,TRUE,889
11671,11611,Potentilla aurea,Potentilla aurea,Potentilla aurea,aurea,1,L.,,A,0,11611,TRUE,889
13475,13446,Potentilla beringensis,Potentilla beringensis,Potentilla beringensis,beringensis,3243,Jurtz.,,A,0,13446,TRUE,889
13390,13361,Potentilla biflora,Potentilla biflora,Potentilla biflora,biflora,4016,Willd. ex Schltdl.,,A,0,13361,TRUE,889
13396,13367,Potentilla bimundorum,Potentilla bimundorum,Potentilla bimundorum,bimundorum,601,Soják,,A,0,13367,TRUE,889
13452,13423,Potentilla bipinnatifida,Potentilla bipinnatifida,Potentilla bipinnatifida,bipinnatifida,4442,Douglas ex Hook.,,A,0,13423,TRUE,889
13453,13424,Potentilla pensylvanica var. bipinnatifida,Potentilla pensylvanica var. bipinnatifida,Potentilla bipinnatifida,bipinnatifida,4443,(Douglas ex Hook.) Torr. & A.Gray,,V,13423,13423,FALSE,13418
13402,13373,Potentilla borealis,Potentilla borealis,Potentilla borealis,borealis,601,Soják,,A,0,13373,TRUE,889
13457,13428,Potentilla brooksensis,Potentilla brooksensis,Potentilla brooksensis,brooksensis,3243,Jurtz.,,A,0,13428,TRUE,889
10802,10746,Potentilla chrysantha,Potentilla chrysantha,Potentilla chrysantha,chrysantha,614,Trev.,,A,0,10746,TRUE,889
10803,10747,Potentilla parviflora,Potentilla parviflora,Potentilla chrysantha,parviflora,3334,Gaudin non Desf.,,A,10746,10746,FALSE,889
905,905,Potentilla collina,Potentilla collina,Potentilla collina,collina,392,Wib.,,A,0,905,TRUE,889
5397,5305,Potentilla wiemanniana,Potentilla wiemanniana,Potentilla collina,wiemanniana,1086,Günther & Schummel,,A,905,905,FALSE,889
910,910,Potentilla crantzii,Potentilla crantzii,Potentilla crantzii,crantzii,5793,(Crantz) Beck ex Fritsch,,A,0,910,TRUE,889
5398,5306,Potentilla alpestris,Potentilla alpestris,Potentilla crantzii,alpestris,187,Hall.,,A,910,910,FALSE,889
5399,5307,Potentilla maculata,Potentilla maculata,Potentilla crantzii,maculata,365,Pourr.,,A,910,910,FALSE,889
10250,10223,Potentilla verna ssp. major,Potentilla verna ssp. major,Potentilla crantzii,major,9,Wahlenb.,,S,910,910,FALSE,3933
13477,13448,Fragaria crantzii,Fragaria crantzii,Potentilla crantzii,crantzii,58,Crantz,,A,910,910,FALSE,884
